font_label,font_file,position,status,store_id,font_image
BarlowSemiCondensed Regular,productdesigner/fonts/BarlowSemiCondensed-Regular.ttf,0,1,0,
Barrio Regular,productdesigner/fonts/Barrio-Regular.ttf,0,1,0,
Basic Regular,productdesigner/fonts/Basic-Regular.ttf,0,1,0,
Battambang Regular,productdesigner/fonts/Battambang-Regular.ttf,0,1,0,
Baumans Regular,productdesigner/fonts/Baumans-Regular.ttf,0,1,0,
Bayon Regular,productdesigner/fonts/Bayon-Regular.ttf,0,1,0,
Belgrano Regular,productdesigner/fonts/Belgrano-Regular.ttf,0,1,0,
Bellefair Regular,productdesigner/fonts/Bellefair-Regular.ttf,0,1,0,
Belleza Regular,productdesigner/fonts/Belleza-Regular.ttf,0,1,0,
BenchNine Regular,productdesigner/fonts/BenchNine-Regular.ttf,0,1,0,
Bentham Regular,productdesigner/fonts/Bentham-Regular.ttf,0,1,0,
BerkshireSwash Regular,productdesigner/fonts/BerkshireSwash-Regular.ttf,0,1,0,
BigelowRules Regular,productdesigner/fonts/BigelowRules-Regular.ttf,0,1,0,
BigshotOne Regular,productdesigner/fonts/BigshotOne-Regular.ttf,0,1,0,
BioRhyme Regular,productdesigner/fonts/BioRhyme-Regular.ttf,0,1,0,
Biryani Regular,productdesigner/fonts/Biryani-Regular.ttf,0,1,0,
Bitter Regular,productdesigner/fonts/Bitter-Regular.ttf,0,1,0,
BlackHanSans Regular,productdesigner/fonts/BlackHanSans-Regular.ttf,0,1,0,
Bokor Regular,productdesigner/fonts/Bokor-Regular.ttf,0,1,0,
Bonbon Regular,productdesigner/fonts/Bonbon-Regular.ttf,0,1,0,
BowlbyOne Regular,productdesigner/fonts/BowlbyOne-Regular.ttf,0,1,0,
BowlbyOneSC Regular,productdesigner/fonts/BowlbyOneSC-Regular.ttf,0,1,0,
Brawler Regular,productdesigner/fonts/Brawler-Regular.ttf,0,1,0,
BreeSerif Regular,productdesigner/fonts/BreeSerif-Regular.ttf,0,1,0,
BubblegumSans Regular,productdesigner/fonts/BubblegumSans-Regular.ttf,0,1,0,
BubblerOne Regular,productdesigner/fonts/BubblerOne-Regular.ttf,0,1,0,
Buenard Regular,productdesigner/fonts/Buenard-Regular.ttf,0,1,0,
BungeeHairline Regular,productdesigner/fonts/BungeeHairline-Regular.ttf,0,1,0,
BungeeOutline Regular,productdesigner/fonts/BungeeOutline-Regular.ttf,0,1,0,
BungeeShade Regular,productdesigner/fonts/BungeeShade-Regular.ttf,0,1,0,
Butcherman Regular,productdesigner/fonts/Butcherman-Regular.ttf,0,1,0,
ButterflyKids Regular,productdesigner/fonts/ButterflyKids-Regular.ttf,0,1,0,
Cabin Regular,productdesigner/fonts/Cabin-Regular.ttf,0,1,0,
CabinCondensed Regular,productdesigner/fonts/CabinCondensed-Regular.ttf,0,1,0,
CabinSketch Regular,productdesigner/fonts/CabinSketch-Regular.ttf,0,1,0,
CaesarDressing Regular,productdesigner/fonts/CaesarDressing-Regular.ttf,0,1,0,
