font_label,font_file,position,status,store_id,font_image
Julee Regular,productdesigner/fonts/Julee-Regular.ttf,0,1,0,
Junge Regular,productdesigner/fonts/Junge-Regular.ttf,0,1,0,
Jura Regular,productdesigner/fonts/Jura-Regular.ttf,0,1,0,
Kalam Regular,productdesigner/fonts/Kalam-Regular.ttf,0,1,0,
Kavoon Regular,productdesigner/fonts/Kavoon-Regular.ttf,0,1,0,
Khmer,productdesigner/fonts/Khmer.ttf,0,1,0,
KiteOne Regular,productdesigner/fonts/KiteOne-Regular.ttf,0,1,0,
Kreon Regular,productdesigner/fonts/Kreon-Regular.ttf,0,1,0,
KronaOne Regular,productdesigner/fonts/KronaOne-Regular.ttf,0,1,0,
Kurale Regular,productdesigner/fonts/Kurale-Regular.ttf,0,1,0,
Lato Regular,productdesigner/fonts/Lato-Regular.ttf,0,1,0,
LeagueScript,productdesigner/fonts/LeagueScript.ttf,0,1,0,
Ledger Regular,productdesigner/fonts/Ledger-Regular.ttf,0,1,0,
LifeSavers Regular,productdesigner/fonts/LifeSavers-Regular.ttf,0,1,0,
LindenHill Regular,productdesigner/fonts/LindenHill-Regular.ttf,0,1,0,
Lora Regular,productdesigner/fonts/Lora-Regular.ttf,0,1,0,
LuckiestGuy Regular,productdesigner/fonts/LuckiestGuy-Regular.ttf,0,1,0,
Mada Regular,productdesigner/fonts/Mada-Regular.ttf,0,1,0,
Mallanna Regular,productdesigner/fonts/Mallanna-Regular.ttf,0,1,0,
MarckScript Regular,productdesigner/fonts/MarckScript-Regular.ttf,0,1,0,
Marvel Regular,productdesigner/fonts/Marvel-Regular.ttf,0,1,0,
McLaren Regular,productdesigner/fonts/McLaren-Regular.ttf,0,1,0,
MedievalSharp,productdesigner/fonts/MedievalSharp.ttf,0,1,0,
MedulaOne Regular,productdesigner/fonts/MedulaOne-Regular.ttf,0,1,0,
Merriweather Regular,productdesigner/fonts/Merriweather-Regular.ttf,0,1,0,
MiltonianTattoo Regular,productdesigner/fonts/MiltonianTattoo-Regular.ttf,0,1,0,
MiriamLibre Regular,productdesigner/fonts/MiriamLibre-Regular.ttf,0,1,0,
Mitr Regular,productdesigner/fonts/Mitr-Regular.ttf,0,1,0,
Molengo Regular,productdesigner/fonts/Molengo-Regular.ttf,0,1,0,
Monofett,productdesigner/fonts/Monofett.ttf,0,1,0,
